,0,1,2,3
"[0, 0]",-0.19,4.451611561167938e-22,-0.34390000000000004,0.0
"[1, 0]",-0.19,-0.34390000000000004,0.0,-0.1
Terminal,0.0,0.0,0.0,0.0
"[0, 1]",0.0,3.187055097209428e-21,-0.34390000000000004,-0.19
"[0, 2]",0.0,2.2107043888795928e-20,-0.34390000000000004,-0.34390000000000004
"[0, 3]",0.0,1.4841689844180018e-19,-0.1,-0.1
"[0, 4]",0.0,9.636027936063556e-19,-0.271,-0.271
"[0, 5]",0.0,6.046642570091734e-18,-0.1,-0.34390000000000004
"[0, 6]",0.0,0.0,-0.1,3.665517745964613e-17
"[0, 7]",0.0,0.0,-0.34390000000000004,2.1723485208473954e-43
"[1, 6]",-0.19,2.1458710228760352e-16,0.0,-0.19
"[1, 7]",0.0,1.2127775619083312e-15,0.0,-0.19
"[1, 8]",5.583160421859069e-31,6.615084029967811e-15,0.0,-0.40951000000000004
"[0, 8]",0.0,0.0,-0.34390000000000004,0.0
"[0, 9]",0.0,0.0,-0.40951000000000004,8.41863185648942e-27
"[1, 9]",0.0,0.0,0.0,3.481207902627368e-14
"[2, 9]",-0.271,0.0,0.0,1.76693007482402e-13
"[3, 9]",8.646600709378662e-13,0.0,0.0,-0.34390000000000004
"[3, 8]",4.0778880845689e-12,0.0,-0.271,-0.19
"[3, 7]",1.8526795605415414e-11,0.0,-0.271,-0.19
"[3, 6]",8.104658513678979e-11,0.0,-0.271,-0.19
"[3, 5]",-0.34390000000000004,0.0,3.412047854351108e-10,-0.19
"[2, 5]",1.38165562356206e-09,-0.271,-0.19,0.0
"[2, 4]",5.378095992842253e-09,0.0,-0.19,-0.271
"[2, 3]",2.0110479639132806e-08,0.0,-0.1,-0.19
"[2, 2]",-0.19,0.0,-0.19,7.219116982046596e-08
"[3, 2]",2.4859828015849506e-07,-0.1,0.0,-0.19
"[3, 1]",8.206006053596132e-07,0.0,-0.34390000000000004,0.0
"[3, 0]",-0.271,0.0,-0.1,2.5943946374327106e-06
"[4, 1]",1.5698161173835577e-28,-0.19,0.0,0.0
"[4, 0]",-0.19,0.0,0.0,7.84957406547286e-06
"[5, 0]",-0.1,0.0,0.0,2.270821242393488e-05
"[6, 0]",-0.34390000000000004,0.0,0.0,6.275584740027368e-05
"[7, 0]",-0.1,-0.1,0.0,0.00016552173227567826
"[5, 1]",0.0,-0.271,0.0,0.0
"[6, 1]",0.0,-0.19,0.0,-0.1
"[8, 0]",-0.1,0.0004162641710232709,0.0,0.0
"[8, 1]",0.0,0.0009971696028697873,-0.1,0.0
"[9, 1]",0.0,0.0,0.0,0.0
"[9, 2]",0.0,0.0,8.016305895390468e-24,0.0
"[8, 2]",0.0,0.002273096591581473,-0.271,0.0
"[9, 0]",-0.19,0.0,0.0,0.0
"[9, 3]",0.0,-0.1,0.0,0.0
"[8, 3]",0.0,-0.1,0.004925721702483248,0.0
"[7, 3]",-0.1,-0.1,0.010136151088632517,0.0
"[6, 3]",-0.1,-0.1,0.01978673260012485,0.0
"[5, 3]",-0.1,0.03660381759589153,-0.1,0.0
"[5, 4]",0.0,0.06410691310858106,0.0,-0.19
"[5, 5]",0.0,-0.19,-0.1,0.10620123003537674
"[4, 4]",-0.1,-0.1,-0.1,0.0
"[6, 5]",-0.1,-0.1,0.0,0.16630390912986337
"[7, 5]",-0.1,-0.1,0.0,0.24607216573145618
"[8, 5]",-0.1,-0.1,0.0,0.344082931261063
"[9, 5]",-0.1,0.4550682642202444,0.0,0.0
"[9, 6]",0.0,0.5703253840585699,-0.1,0.0
"[9, 7]",0.0,-0.1,0.6795330016487909,0.0
"[8, 7]",-0.1,-0.1,0.7734961408172645,0.0
"[7, 7]",-0.1,-0.1,0.8467018240767946,0.0
"[6, 7]",-0.1,-0.1,0.8984948182837185,0.0
"[5, 7]",-0.1,0.9323617742109294,-0.1,0.002407225475948335
"[5, 8]",0.0,0.9538534143392237,-0.1,-0.1
"[5, 9]",0.0,0.0,-0.1,0.968345032802771
"[6, 9]",-0.1,0.0,0.0,0.9796754936839549
"[7, 9]",-0.1,0.0,0.0,0.9899386044584232
"[8, 9]",0.0,0.0,0.0,0.9999955703072454
