,0,1,2,3
"[0, 0]",-0.19,-0.011433772135508113,-0.46855900000000006,-0.04890842682734038
Terminal,0.0,0.0,0.0,0.0
"[1, 0]",-0.5695327900000001,-0.03633853714007548,-0.01647961593787543,-0.029292871058417862
"[1, 1]",-0.0397990001192523,-0.34390000000000004,-0.007411156804894308,-0.271
"[0, 1]",-0.04807913710933191,-0.0012152894239600945,-0.19,-0.03771361844963724
"[2, 0]",-0.19,-0.1,-0.0070288185375835905,-0.009000000000000001
"[0, 2]",0.0,0.030066820230555125,-0.1,-0.1
"[3, 0]",-0.1,0.0,-5.537387617315396e-09,0.0
"[3, 1]",0.0,0.0,-0.1,0.0
"[3, 2]",0.0,0.0,0.1,0.0
"[3, 3]",0.0,0.0,0.0,0.0
"[0, 3]",0.00019620276840000002,0.005480433156559501,-0.1,0.13794251180018316
"[1, 3]",-0.19,0.0,7.290000000000002e-05,0.41112294523748344
"[2, 3]",0.7712320754503901,0.15289492713390002,0.040115764642167005,0.0
